flag	content
$REWARDED_AD_DESCRIPTION	Assista a um vídeo e ganhe câmera lenta na próxima tentativa?
$LIVES	Vidas
$REWARDED_AD_2_TITLE	Obtenha Vida Extra
$REWARDED_AD_2_DESCRIPTION	Assista a um vídeo e ganhe uma vida extra?
$REWARDED_AD_3_TITLE	Ativar Câmera Lenta
$REWARDED_AD_3_DESCRIPTION	Ativar câmera lenta na próxima tentativa?
$PRESS_ANY_KEY_TO_CONTINUE	Pressione qualquer tecla para continuar
$ADS_OPT_IN_TITLE	GOSTARIA DE MELHORAR A SUA EXPERIÊNCIA?
$ADS_OPT_IN_DESCRIPTION	Para oferecer anúncios personalizados, ou seja, anúncios relevantes para si, precisamos de recolher dados e partilhá-los com os nossos parceiros, que podem usar diferentes tecnologias.
$ADS_OPT_IN_MORE	Saiba mais na nossa 
$PRIVACY_POLICY	política de privacidade
