content	flags
$PRESS_ENTER_TO_START	按下“ENTER”可开始
$PRESS_ENTER_TO_CONTINUE	按下“ENTER”可继续
$PRESS_ENTER_TO_START_OR_ESC	按下“ENTER”可开始新的比赛，或按ESC来更改设置
$PRESS_SPACE_TO_START	按下空格键可开始
$PRESS_SPACE_TO_CONTINUE	按下空格键可继续
$PRESS_SPACE_TO_START_OR_ESC	按下空格键可开始新的比赛，或按ESC来更改设置
$LEVEL_X	关卡 <X>
$LEVEL_1_DESCRIPTION	绿黄色城市风光
$LEVEL_2_DESCRIPTION	红色巨人
$LEVEL_3_DESCRIPTION	紫色梦想
$SCORE	得分
$BEST_SCORE	最佳
$X_POINTS	<X> 分
$END_DIALOG_1_1_LINE_1	 久别重逢了。
$END_DIALOG_1_1_LINE_2	 
$END_DIALOG_1_1_LINE_3	 我看到你的技能并没有
$END_DIALOG_1_1_LINE_4	 丝毫下降。
$END_DIALOG_1_2_LINE_1	 那很简单！
$END_DIALOG_1_2_LINE_2	 
$END_DIALOG_1_2_LINE_3	 我会击败你给我的
$END_DIALOG_1_2_LINE_4	 任何挑战。
$END_DIALOG_1_3_LINE_1	 哈哈！我要是你
$END_DIALOG_1_3_LINE_2	 就不会这么自信。
$END_DIALOG_1_3_LINE_3	 让我们来看看你在接下来的
$END_DIALOG_1_3_LINE_4	 挑战中表现如何。
$END_DIALOG_2_1_LINE_1	 
$END_DIALOG_2_1_LINE_2	 看到没？小菜一碟！
$END_DIALOG_2_1_LINE_3	 
$END_DIALOG_2_1_LINE_4	 
$END_DIALOG_2_2_LINE_1	 我觉得你变得有点
$END_DIALOG_2_2_LINE_2	 傲慢，我的朋友。我确定
$END_DIALOG_2_2_LINE_3	 最终的挑战
$END_DIALOG_2_2_LINE_4	 会让你服服帖帖。
$END_DIALOG_2_3_LINE_1	 话这么多，行动太少。
$END_DIALOG_2_3_LINE_2	 
$END_DIALOG_2_3_LINE_3	 走吧，我准备好了！
$END_DIALOG_2_3_LINE_4	 
$END_DIALOG_2_4_LINE_1	 最好不过。
$END_DIALOG_2_4_LINE_2	 
$END_DIALOG_2_4_LINE_3	 下一个关卡可不适合
$END_DIALOG_2_4_LINE_4	 胆小鬼。
$END_DIALOG_3_1_LINE_1	 超棒！！！
$END_DIALOG_3_1_LINE_2	 
$END_DIALOG_3_1_LINE_3	 我做到了！！
$END_DIALOG_3_1_LINE_4	 
$END_DIALOG_3_2_LINE_1	 好样的！我必须承认，
$END_DIALOG_3_2_LINE_2	 我没想到你会
$END_DIALOG_3_2_LINE_3	 走这么远。你的
$END_DIALOG_3_2_LINE_4	 表现非常出色。
$END_DIALOG_3_3_LINE_1	 你结合了
$END_DIALOG_3_3_LINE_2	 闪电般的快速反应能力与
$END_DIALOG_3_3_LINE_3	 双重身体下的精准操作。
$END_DIALOG_3_3_LINE_4	 一个真正了不起的壮举。
$END_DIALOG_3_4_LINE_1	 如果你还没有准备好，你
$END_DIALOG_3_4_LINE_2	 还可以挑战自己
$END_DIALOG_3_4_LINE_3	 玩无尽模式或与朋友们
$END_DIALOG_3_4_LINE_4	 玩本地多人模式。
$END_DIALOG_3_5_LINE_1	 当时间合适时，
$END_DIALOG_3_5_LINE_2	 这个实验会继续。
$END_DIALOG_3_5_LINE_3	 
$END_DIALOG_3_5_LINE_4	 直到那时…
$END_DIALOG_3_6_LINE_1	 
$END_DIALOG_3_6_LINE_2	 . . . . . .
$END_DIALOG_3_6_LINE_3	 
$END_DIALOG_3_6_LINE_4	 
$CREDITS_LINE_1	游戏设计与编程
$CREDITS_LINE_2	瓦斯科·弗雷塔斯
$CREDITS_LINE_3	艺术图片
$CREDITS_LINE_4	弗雷德里科·马丁斯
$CREDITS_LINE_5	鲁特·苏亚雷斯
$CREDITS_LINE_6	音乐和声音效果
$CREDITS_LINE_7	弗朗西斯科·费塔朵
$SETTINGS	设置
$LANGUAGE	语言
$COMING_SOON	即将推出
$RESTORE_PURCHASES	恢复购买
$MUSIC	音乐
$SOUND	音效
$COMPUTER_CONTROLLED_ABBREVIATION	CPU
$SCREENSHOT_TEXT_1	本地多人
$SCREENSHOT_TEXT_2	最多4名玩家
$REMOVE_ADS	不再有广告
$GET_G-SWITCH_3_PLUS	获得G-Switch 3 Plus
$G-SWITCH_3_PLUS_LINE_1	有了G-Switch 3 Plus你讲解锁：
$G-SWITCH_3_PLUS_LINE_2	  -  6个全新的多人阶段
$G-SWITCH_3_PLUS_LINE_3	  - 来自G-Switch 2 和 G-Switch 1的多人阶段
$G-SWITCH_3_PLUS_LINE_4	  - 按你喜欢的顺序玩你想要的阶段
$G-SWITCH_3_PLUS_LINE_5	  - “无穷无尽比赛”和“无强力道具”选项
$G-SWITCH_3_PLUS_LINE_6	  - 不再有广告
$G-SWITCH_3_PLUS_LINE_7	  - 可永久访问所有未来的新阶段/关卡
$G-SWITCH_3_PLUS_LINE_8_PRICE_X	仅需 <X>!
$GET_IT_BUTTON	获取它！
$UNABLE_TO_CONNECT_GOOGLE_PLAY	无法连接到Google Play。
$CHECK_CONNECTION	请检查您的Internet连接。
$CONNECTING	连接…
$REWARDED_AD_TITLE	看视频
$REWARDED_AD_DESCRIPTION	观看视频并在下次尝试时获得慢动作？
$LIVES	生活
$REWARDED_AD_2_TITLE	获得额外的生命
$REWARDED_AD_2_DESCRIPTION	观看视频并获得额外的生命？
$REWARDED_AD_3_TITLE	慢动作？
$REWARDED_AD_3_DESCRIPTION	下次尝试慢慢动作？
$PRESS_ANY_KEY_TO_CONTINUE	按任意键继续
$ADS_OPT_IN_TITLE	DO YOU WANT TO IMPROVE YOUR EXPERIENCE?
$ADS_OPT_IN_DESCRIPTION	To offer interest-based ads, meaning ads relevant to you, we need to collect data and share it with our partners, who may use different technologies.
$ADS_OPT_IN_MORE	Learn more in our 
$PRIVACY_POLICY	privacy policy
