content	flags
$END_DIALOG_2_1_LINE_1	 
$END_DIALOG_2_1_LINE_2	Vous voyez ? C'est du gâteau !
$END_DIALOG_2_1_LINE_3	 
$END_DIALOG_2_1_LINE_4	 
$END_DIALOG_2_2_LINE_1	Je pense que vous devenez un
$END_DIALOG_2_2_LINE_2	peu arrogant, mon ami. Je suis sûr
$END_DIALOG_2_2_LINE_3	que la dernière série de défis
$END_DIALOG_2_2_LINE_4	prendra soin de cela.
$END_DIALOG_2_3_LINE_1	Beaucoup de paroles, mais si peu
$END_DIALOG_2_3_LINE_2	d'action.
$END_DIALOG_2_3_LINE_3	 
$END_DIALOG_2_3_LINE_4	Allez, je suis prêt !
$END_DIALOG_2_4_LINE_1	Vous feriez mieux de l'être.
$END_DIALOG_2_4_LINE_2	 
$END_DIALOG_2_4_LINE_3	Le niveau suivant n'est pas pour les
$END_DIALOG_2_4_LINE_4	âmes sensibles.
$END_DIALOG_3_1_LINE_1	OUI !!!!!!
$END_DIALOG_3_1_LINE_2	 
$END_DIALOG_3_1_LINE_3	Je l'ai fait !!!
$END_DIALOG_3_1_LINE_4	 
$END_DIALOG_3_2_LINE_1	Bravo ! Je dois admettre que
$END_DIALOG_3_2_LINE_2	je ne pensais pas que vous
$END_DIALOG_3_2_LINE_3	arriveriez jusque-là. Votre
$END_DIALOG_3_2_LINE_4	performance était exceptionnelle.
$END_DIALOG_3_3_LINE_1	Vous avez réussi à allier des
$END_DIALOG_3_3_LINE_2	réflexes rapides comme l'éclair à
$END_DIALOG_3_3_LINE_3	une extrême précision dans des
$END_DIALOG_3_3_LINE_4	conditions à double corps. Un exploit remarquable.
$END_DIALOG_3_4_LINE_1	Si vous ne l'avez pas déjà fait,
$END_DIALOG_3_4_LINE_2	pouvez repousser encore plus
$END_DIALOG_3_4_LINE_3	vos limites en mode Infini ou
$END_DIALOG_3_4_LINE_4	local Multijoueur avec des amis.
$END_DIALOG_3_5_LINE_1	L'expérience se poursuivra
$END_DIALOG_3_5_LINE_2	lorsque le moment viendra.
$END_DIALOG_3_5_LINE_3	 
$END_DIALOG_3_5_LINE_4	En attendant...
$END_DIALOG_3_6_LINE_1	 
$END_DIALOG_3_6_LINE_2	. . . . . .
$END_DIALOG_3_6_LINE_3	 
$END_DIALOG_3_6_LINE_4	 
$CREDITS_LINE_1	Conception et programmation du jeu
$CREDITS_LINE_2	Vasco Freitas
$CREDITS_LINE_3	Illustrations
$CREDITS_LINE_4	Frederico Martins
$CREDITS_LINE_5	Rute Soares
$CREDITS_LINE_6	Musique et effets sonores
$CREDITS_LINE_7	Francisco Furtado
$SETTINGS	Paramètres
$LANGUAGE	Langue
$COMING_SOON	Bientôt disponible
$RESTORE_PURCHASES	 Restaurer<N>les achats
$MUSIC	Musique
$SOUND	Son
$COMPUTER_CONTROLLED_ABBREVIATION	UC
$SCREENSHOT_TEXT_1	Multijoueur local
$SCREENSHOT_TEXT_2	Jusqu'à 4 joueurs
$REMOVE_ADS	Enlever les publicités
$GET_G-SWITCH_3_PLUS	Achetez G-Switch 3 Plus
$G-SWITCH_3_PLUS_LINE_1	Avec G-Switch 3+, vous débloquerez :
$G-SWITCH_3_PLUS_LINE_2	 - 6 nouvelles étapes multijoueurs
$G-SWITCH_3_PLUS_LINE_3	 - Toutes les étapes multijoueur de G-Switch 2 et G-Switch 1
$G-SWITCH_3_PLUS_LINE_4	 - Jouez les étapes que vous voulez dans l'ordre que vous voulez
$G-SWITCH_3_PLUS_LINE_5	 - Options « Tournoi sans fin » et « Aucun power-up »
$G-SWITCH_3_PLUS_LINE_6	 - Pas de pubs
$G-SWITCH_3_PLUS_LINE_7	 - L'accès à toutes les futures nouvelles étapes pour toujours
$G-SWITCH_3_PLUS_LINE_8_PRICE_X	Seulement <X>
$GET_IT_BUTTON	Acheter !
$UNABLE_TO_CONNECT_GOOGLE_PLAY	Impossible de se connecter à Google Play.
$CHECK_CONNECTION	Veuillez vérifier votre connexion Internet.
$CONNECTING	De liaison...
$REWARDED_AD_TITLE	Regarder la vidéo
$REWARDED_AD_DESCRIPTION	Regarder une vidéo et ralentir au prochain essai ?
$LIVES	Vies
$REWARDED_AD_2_TITLE	Vie supplémentaire
$REWARDED_AD_2_DESCRIPTION	Regarder une vidéo et gagner une vie supplémentaire?
$REWARDED_AD_3_TITLE	Activer le ralenti
$REWARDED_AD_3_DESCRIPTION	Activer le ralenti à la prochaine tentative?
$PRESS_ANY_KEY_TO_CONTINUE	Appuyez sur une touche quelconque pour continuer
$ADS_OPT_IN_TITLE	VEUX-TU AMÉLIORER TON EXPÉRIENCE ?
$ADS_OPT_IN_DESCRIPTION	Pour proposer des publicités personnalisées, c'est-à-dire des publicités ciblant tes centres d'intérêt, nous devons collecter des données et les partager avec nos partenaires, qui peuvent utiliser différentes technologies.
$ADS_OPT_IN_MORE	Apprends-en davantage dans notre 
$PRIVACY_POLICY	politique de confidentialité
