content	flags
$TAP_ICONS_TO_ADD	Tippen Sie auf Stufensymbole, um sie zur Liste hinzufügen
$CLICK_ICONS_TO_ADD	Klicken Sie auf Stufensymbole, um sie zur Liste hinzufügen
$GS1_STAGE	GS1 Stufe <X>
$GS2_STAGE	GS2 Stufe <X>
$GS3_STAGE	GS3 Stufe <X>
$GS1_STAGE_SHORT	GS1-<X>
$GS2_STAGE_SHORT	GS2-<X>
$GS3_STAGE_SHORT	GS3-<X>
$CLICK_OR_PRESS_KEY_TO_FLIP	Klicken oder drücken Sie eine beliebige Taste, um zu flippen
$TAP_TO_FLIP	Tippe irgendwo hin, die Schwerkraft zu flippen
$TAP_TO_START	Tippe irgendwo hin, um zu beginnen
$TAP_TO_CONTINUE	Tippe irgendwo hin, um fortzufahren
$TAP_TO_START_NEW_TOURNAMENT	Tippe irgendwo hin ein neues Turnier zu starten
$RANKINGS	Ranglisten
$FINAL_ROUND	Letzte Runde
$FINAL_ROUND_CAPS	LETZTE RUNDE
$ROUND_X_OF_Y	Rund <X> von <Y>
$ROUND_X	Rund <X>
$FIRST_SUPERSCRIPT	st
$SECOND_SUPERSCRIPT	nd
$THIRD_SUPERSCRIPT	rd
$FOURTH_SUPERSCRIPT	th
$FIFTH_SUPERSCRIPT	th
$SIXTH_SUPERSCRIPT	th
$SEVENTH_SUPERSCRIPT	th
$EIGHTH_SUPERSCRIPT	th
$FIRST_BASELINE	1
$SECOND_BASELINE	2
$THIRD_BASELINE	3
$FOURTH_BASELINE	4
$FIFTH_BASELINE	5
$SIXTH_BASELINE	6
$SEVENTH_BASELINE	7
$EIGHTH_BASELINE	8
$PLAYER_1	Spieler 1
$PLAYER_2	Spieler 2
$PLAYER_3	Spieler 3
$PLAYER_4	Spieler 4
$TAP_HERE_CAPS	KLICK HIER
$PRESS_ENTER_TO_START	Zum Start ENTER drücken
$PRESS_ENTER_TO_CONTINUE	Drücken Sie ENTER, um fortzufahren
$PRESS_ENTER_TO_START_OR_ESC	Drücken Sie ENTER, um neu zu starten, oder ESC für Optionen
$PRESS_SPACE_TO_START	Zum Start Leertaste drücken
$PRESS_SPACE_TO_CONTINUE	Drücken Sie Leertaste, um fortzufahren
$PRESS_SPACE_TO_START_OR_ESC	Drücken Sie Leertaste, um neu zu starten, oder ESC für Optionen
$LEVEL_X	Level <X>
$LEVEL_1_DESCRIPTION	Lime Stadtbild
$LEVEL_2_DESCRIPTION	Roter Riese
$LEVEL_3_DESCRIPTION	Lila Träume
$SCORE	Ergebnis
$BEST_SCORE	Beste
$X_POINTS	<X> Punkte
$END_DIALOG_1_1_LINE_1	So treffen wir uns wieder.
$END_DIALOG_1_1_LINE_2	Ich sehe, dass deine Fähigkeiten
$END_DIALOG_1_1_LINE_3	nicht im Geringsten abgenommen
$END_DIALOG_1_1_LINE_4	haben.
$END_DIALOG_1_2_LINE_1	Das war einfach!
$END_DIALOG_1_2_LINE_2	 
$END_DIALOG_1_2_LINE_3	Ich werde schlagen, was auch
$END_DIALOG_1_2_LINE_4	immer du wirfst mir entgegen.
$END_DIALOG_1_3_LINE_1	Haha! Ich würde nicht so sicher
$END_DIALOG_1_3_LINE_2	sein, an deiner Stelle. Mal sehen,
$END_DIALOG_1_3_LINE_3	wie du es bei den nächsten
$END_DIALOG_1_3_LINE_4	Herausforderungen machst.
$END_DIALOG_2_1_LINE_1	 
$END_DIALOG_2_1_LINE_2	Siehst du? Ein Kinderspiel!
$END_DIALOG_2_1_LINE_3	 
$END_DIALOG_2_1_LINE_4	 
$END_DIALOG_2_2_LINE_1	Ich fühle, dass du ein bisschen
$END_DIALOG_2_2_LINE_2	arrogant wirst, mein Freund. Ich
$END_DIALOG_2_2_LINE_3	bin mir sicher, dass die letzten
$END_DIALOG_2_2_LINE_4	Herausforderungen dafür sorgen werden.
$END_DIALOG_2_3_LINE_1	Es wird viel geredet, aber wenig
$END_DIALOG_2_3_LINE_2	unternommen.
$END_DIALOG_2_3_LINE_3	 
$END_DIALOG_2_3_LINE_4	Lass uns anfangen, ich bin bereit!
$END_DIALOG_2_4_LINE_1	Du solltest besser sein.
$END_DIALOG_2_4_LINE_2	 
$END_DIALOG_2_4_LINE_3	Die nächste Stufe ist nicht für die
$END_DIALOG_2_4_LINE_4	schwache Nerven.
$END_DIALOG_3_1_LINE_1	JA!!!!!!
$END_DIALOG_3_1_LINE_2	 
$END_DIALOG_3_1_LINE_3	Ich habe es gemacht!!!
$END_DIALOG_3_1_LINE_4	 
$END_DIALOG_3_2_LINE_1	Bravo! Das muss ich zugeben
$END_DIALOG_3_2_LINE_2	Ich hätte nicht gedacht, dass du
$END_DIALOG_3_2_LINE_3	es so weit schaffen würdest. Deine
$END_DIALOG_3_2_LINE_4	Leistung war hervorragend.
$END_DIALOG_3_3_LINE_1	Du warst in der Lage blitzschnelle
$END_DIALOG_3_3_LINE_2	Reflexe mit höchster Präzision
$END_DIALOG_3_3_LINE_3	in Zweikampf -Situationen zu
$END_DIALOG_3_3_LINE_4	kombinieren. Eine wirklich bemerkenswerte Leistung.
$END_DIALOG_3_4_LINE_1	Wenn du es noch nicht getan hast,
$END_DIALOG_3_4_LINE_2	kannst du dich im Endlos-Modus 
$END_DIALOG_3_4_LINE_3	oder im lokalen Multiplayer mit 
$END_DIALOG_3_4_LINE_4	Freunden weiter herausfordern.
$END_DIALOG_3_5_LINE_1	Das Experiment wird fortgesetzt
$END_DIALOG_3_5_LINE_2	wenn die Zeit reif ist.
$END_DIALOG_3_5_LINE_3	 
$END_DIALOG_3_5_LINE_4	Bis dann...
$END_DIALOG_3_6_LINE_1	 
$END_DIALOG_3_6_LINE_2	. . . . . .
$END_DIALOG_3_6_LINE_3	 
$END_DIALOG_3_6_LINE_4	 
$CREDITS_LINE_1	Game Design und Programmierung
$CREDITS_LINE_2	Vasco Freitas
$CREDITS_LINE_3	Grafik
$CREDITS_LINE_4	Frederico Martins
$CREDITS_LINE_5	Rute Soares
$CREDITS_LINE_6	Musik und Soundeffekte
$CREDITS_LINE_7	Francisco Furtado
$SETTINGS	Einstellungen
$LANGUAGE	Sprache
$COMING_SOON	Demnächst
$RESTORE_PURCHASES	 Einkäufe<N>wiederherstellen
$MUSIC	Musik
$SOUND	Ton
$COMPUTER_CONTROLLED_ABBREVIATION	CPU
$SCREENSHOT_TEXT_1	Lokaler Multiplayer
$SCREENSHOT_TEXT_2	Bis zu 4 Spieler
$REMOVE_ADS	Werbungen entfernen
$GET_G-SWITCH_3_PLUS	G-Switch 3 Plus Holen
$G-SWITCH_3_PLUS_LINE_1	Mit G-Switch 3+ werden Sie freischalten:
$G-SWITCH_3_PLUS_LINE_2	 - 6 brandneue Multiplayer-Stufen
$G-SWITCH_3_PLUS_LINE_3	 - Alle Multiplayer-Stufen von G-Switch 2 und G-Switch 1
$G-SWITCH_3_PLUS_LINE_4	 - Spiele die gewünschten Stufen in der von dir gewünschten Reihenfolge
$G-SWITCH_3_PLUS_LINE_5	 - „Niemals endend Turnier“ und „Keine Powerups“ Optionen
$G-SWITCH_3_PLUS_LINE_6	 - Keine Anzeigen
$G-SWITCH_3_PLUS_LINE_7	 - Zugang zu allen zukünftigen neuen Stufen/Levels für immer
$G-SWITCH_3_PLUS_LINE_8_PRICE_X	Nur <X>
$GET_IT_BUTTON	Hole es dir!
$UNABLE_TO_CONNECT_GOOGLE_PLAY	Es konnte keine Verbindung zu Google Play hergestellt werden.
$CHECK_CONNECTION	Bitte, Internetverbindung überprüfen
$CONNECTING	Verbindung ...
$REWARDED_AD_TITLE	Schau Video
$REWARDED_AD_DESCRIPTION	Sehen Sie ein Video und gewinnen Sie Zeitlupe beim nächsten Versuch?
$LIVES	Leben
$REWARDED_AD_2_TITLE	Extra Leben
$REWARDED_AD_2_DESCRIPTION	Sehen Sie sich ein Video an und gewinnen Sie ein zusätzliches Leben?
$REWARDED_AD_3_TITLE	Zeitlupe aktivieren
$REWARDED_AD_3_DESCRIPTION	Zeitlupe beim nächsten Versuch aktivieren?
$PRESS_ANY_KEY_TO_CONTINUE	Drücken Sie eine beliebige Taste, um fortzufahren
$ADS_OPT_IN_TITLE	MÖCHTEST DU DEIN NUTZERERLEBNIS VERBESSERN?
$ADS_OPT_IN_DESCRIPTION	Um interessenbasierte Anzeigen, also für dich relevante Anzeigen bereitzustellen, müssen wir Daten sammeln und sie mit unseren Partnern teilen, die möglicherweise andere Technologien nutzen.
$ADS_OPT_IN_MORE	Erfahre mehr in unserer 
$PRIVACY_POLICY	Datenschutzrichtlinie
