flag	content
$PLAYER_1	Player 1
$PLAYER_2	Player 2
$PLAYER_3	Player 3
$PLAYER_4	Player 4
$TAP_HERE_CAPS	TAP HERE
	
$PRESS_ENTER_TO_START	Press ENTER to start
$PRESS_ENTER_TO_CONTINUE	Press ENTER to continue
$PRESS_ENTER_TO_START_OR_ESC	Press ENTER to start new tounament, or ESC to change settings

$PRESS_SPACE_TO_START	Press SPACE to start
$PRESS_SPACE_TO_CONTINUE	Press SPACE to continue
$PRESS_SPACE_TO_START_OR_ESC	Press SPACE to start new tounament, or ESC to change settings
	
$LEVEL_X	Level <X>
$LEVEL_1_DESCRIPTION	Lime Cityscape
$LEVEL_2_DESCRIPTION	Red Giant
$LEVEL_3_DESCRIPTION	Purple Dreams
	
$SCORE	Score
$BEST_SCORE	Best
$X_POINTS	<X> points
	
$END_DIALOG_1_1_LINE_1	So we meet again.
$END_DIALOG_1_1_LINE_2	 
$END_DIALOG_1_1_LINE_3	I see that your skills have not
$END_DIALOG_1_1_LINE_4	decreased in the slightest.
	
$END_DIALOG_1_2_LINE_1	That was easy!
$END_DIALOG_1_2_LINE_2	 
$END_DIALOG_1_2_LINE_3	I’ll beat whatever you throw
$END_DIALOG_1_2_LINE_4	at me.
	
$END_DIALOG_1_3_LINE_1	Haha! I would not be
$END_DIALOG_1_3_LINE_2	so sure if I were you.
$END_DIALOG_1_3_LINE_3	Let’s see how you do in the
$END_DIALOG_1_3_LINE_4	next set of challenges.
	
$END_DIALOG_2_1_LINE_1	 
$END_DIALOG_2_1_LINE_2	See? Piece of cake!
$END_DIALOG_2_1_LINE_3	 
$END_DIALOG_2_1_LINE_4	 
	
$END_DIALOG_2_2_LINE_1	I feel you are getting a bit
$END_DIALOG_2_2_LINE_2	arrogant, my friend. I’m sure
$END_DIALOG_2_2_LINE_3	that the final set of challenges
$END_DIALOG_2_2_LINE_4	will take care of that.
	
$END_DIALOG_2_3_LINE_1	So much talk, so little action.
$END_DIALOG_2_3_LINE_2	 
$END_DIALOG_2_3_LINE_3	Let’s go, I’m ready!
$END_DIALOG_2_3_LINE_4	 
	
$END_DIALOG_2_4_LINE_1	You had better be.
$END_DIALOG_2_4_LINE_2	 
$END_DIALOG_2_4_LINE_3	The next level is not for the
$END_DIALOG_2_4_LINE_4	faint of heart.
	
$END_DIALOG_3_1_LINE_1	YES!!!!!!
$END_DIALOG_3_1_LINE_2	 
$END_DIALOG_3_1_LINE_3	I did it!!!
$END_DIALOG_3_1_LINE_4	 
	
$END_DIALOG_3_2_LINE_1	Bravo! I must admit that
$END_DIALOG_3_2_LINE_2	I did not think you would
$END_DIALOG_3_2_LINE_3	make it this far.  Your
$END_DIALOG_3_2_LINE_4	performance was outstanding.
	
$END_DIALOG_3_3_LINE_1	You were able to combine
$END_DIALOG_3_3_LINE_2	lightning-fast reflexes with pinpoint
$END_DIALOG_3_3_LINE_3	accuracy in double-body conditions.
$END_DIALOG_3_3_LINE_4	A truly remarkable feat.
	
$END_DIALOG_3_4_LINE_1	If you haven’t already, you
$END_DIALOG_3_4_LINE_2	may further challenge yourself
$END_DIALOG_3_4_LINE_3	in Endless mode or local
$END_DIALOG_3_4_LINE_4	Multiplayer with friends.
	
$END_DIALOG_3_5_LINE_1	The experiment will continue
$END_DIALOG_3_5_LINE_2	when the time is right.
$END_DIALOG_3_5_LINE_3	 
$END_DIALOG_3_5_LINE_4	Until then…
	
$END_DIALOG_3_6_LINE_1	 
$END_DIALOG_3_6_LINE_2	. . . . . .
$END_DIALOG_3_6_LINE_3	 
$END_DIALOG_3_6_LINE_4	 
	
$CREDITS_LINE_1	Game Design and Programming
$CREDITS_LINE_2	Vasco Freitas
$CREDITS_LINE_3	Artwork
$CREDITS_LINE_4	Frederico Martins
$CREDITS_LINE_5	Rute Soares
$CREDITS_LINE_6	Music and Sound Effects
$CREDITS_LINE_7	Francisco Furtado
	
$SETTINGS	Settings
$LANGUAGE	Language
$COMING_SOON	Coming soon
$RESTORE_PURCHASES	 Restore<N>Purchases
$MUSIC	Music
$SOUND	Sound
$COMPUTER_CONTROLLED_ABBREVIATION	CPU
$SCREENSHOT_TEXT_1	Local Multiplayer
$SCREENSHOT_TEXT_2	Up to 4 players
$REMOVE_ADS	Remove Ads
	
$GET_G-SWITCH_3_PLUS	Get G-Switch 3 Plus
$G-SWITCH_3_PLUS_LINE_1	With G-Switch 3+ you will unlock:
$G-SWITCH_3_PLUS_LINE_2	 - 6 brand new multiplayer stages
$G-SWITCH_3_PLUS_LINE_3	 - All multiplayer stages from G-Switch 2 and G-Switch 1
$G-SWITCH_3_PLUS_LINE_4	 - Play the stages you want in the order you like
$G-SWITCH_3_PLUS_LINE_5	 - “Never-ending Tournament” and “No Powerups” options
$G-SWITCH_3_PLUS_LINE_6	 - No more ads
$G-SWITCH_3_PLUS_LINE_7	 - Access to all future new stages/levels forever
$G-SWITCH_3_PLUS_LINE_8_PRICE_X	Only <X>
$GET_IT_BUTTON	Get it!
$UNABLE_TO_CONNECT_GOOGLE_PLAY	Unable to connect to Google Play.
$CHECK_CONNECTION	Please check your Internet connection.
$CONNECTING	Connecting...

$REWARDED_AD_TITLE	Activate Slow Motion
$REWARDED_AD_DESCRIPTION	Watch an ad to activate slow-motion on next try?

$LIVES	Lives
$REWARDED_AD_2_TITLE	Get Extra Life
$REWARDED_AD_2_DESCRIPTION	Watch an ad and gain an extra life?
$REWARDED_AD_3_TITLE	Activate Slow Motion
$REWARDED_AD_3_DESCRIPTION	Activate slow-motion on next try?

$PRESS_ANY_KEY_TO_CONTINUE	Press any key to continue

$ADS_OPT_IN_TITLE	DO YOU WANT TO IMPROVE YOUR EXPERIENCE?
$ADS_OPT_IN_DESCRIPTION	To offer interest-based ads, meaning ads relevant to you, we need to collect data and share it with our partners, who may use different technologies.
$ADS_OPT_IN_MORE	Learn more in our 
$PRIVACY_POLICY	privacy policy
