content	flags
$HAS_WON_THE_TOURNAMENT	이(가) 토너먼트에서 이겼습니다!
$TWO_PLAYER_TIE	첫 번째 판에서<N>2명의 플레이어가 비겼습니다!
$THREE_PLAYER_TIE	첫 번째 판에서<N>3명의 플레이어가 비겼습니다!
$FOUR_PLAYER_TIE	첫 번째 판에서<N>4명의 플레이어가 비겼습니다!
$FIVE_PLAYER_TIE	첫 번째 판에서<N>5명의 플레이어가 비겼습니다!
$SIX_PLAYER_TIE	첫 번째 판에서<N>6명의 플레이어가 비겼습니다!
$SEVEN_PLAYER_TIE	첫 번째 판에서<N>7명의 플레이어가 비겼습니다!
$EIGHT_PLAYER_TIE	첫 번째 판에서<N>8명의 플레이어가 비겼습니다!
$TAP_ICONS_TO_ADD	스테이지 아이콘을 탭하여 목록에 추가
$CLICK_ICONS_TO_ADD	스테이지 아이콘을 탭하여 목록에 추가
$GS1_STAGE	GS1 스테이지 <X>
$GS2_STAGE	GS2 스테이지 <X>
$GS3_STAGE	GS3 스테이지 <X>
$GS1_STAGE_SHORT	GS1 <X>
$GS2_STAGE_SHORT	GS2 <X>
$GS3_STAGE_SHORT	GS3 <X>
$CLICK_OR_PRESS_KEY_TO_FLIP	아무 키나 클릭 또는 눌러서 뒤집기
$TAP_TO_FLIP	아무 곳이나 탭하여 중력 뒤집기
$TAP_TO_START	아무 곳이나 탭하여 시작
$TAP_TO_CONTINUE	아무 곳이나 탭하여 계속
$TAP_TO_START_NEW_TOURNAMENT	아무 곳이나 탭하여 새 토너먼트 시작
$RANKINGS	순위
$FINAL_ROUND	최종 라운드
$FINAL_ROUND_CAPS	최종 라운드
$ROUND_X_OF_Y	라운드 <X> / <Y>
$ROUND_X	라운드 <X>
$FIRST_SUPERSCRIPT	 
$SECOND_SUPERSCRIPT	 
$THIRD_SUPERSCRIPT	 
$FOURTH_SUPERSCRIPT	 
$FIFTH_SUPERSCRIPT	 
$SIXTH_SUPERSCRIPT	 
$SEVENTH_SUPERSCRIPT	 
$EIGHTH_SUPERSCRIPT	 
$FIRST_BASELINE	1차
$SECOND_BASELINE	2차
$THIRD_BASELINE	3차
$FOURTH_BASELINE	4차
$FIFTH_BASELINE	5차
$SIXTH_BASELINE	6차
$SEVENTH_BASELINE	7차
$EIGHTH_BASELINE	8차
$PLAYER_1	플레이어 1
$PLAYER_2	플레이어 2
$PLAYER_3	플레이어 3
$PLAYER_4	플레이어 4
$TAP_HERE_CAPS	여기를 탭하세요
$PRESS_ENTER_TO_START	엔터를 눌러 시작
$PRESS_ENTER_TO_CONTINUE	엔터를 눌러 계속
$PRESS_ENTER_TO_START_OR_ESC	엔터를 눌러 새 토너먼트를 시작하거나 ESC를 눌러 설정을 변경합니다.
$PRESS_SPACE_TO_START	스페이스 바 눌러 시작
$PRESS_SPACE_TO_CONTINUE	스페이스 바 눌러 계속
$PRESS_SPACE_TO_START_OR_ESC	스페이스 바 눌러 새 토너먼트를 시작하거나 ESC를 눌러 설정을 변경합니다.
$LEVEL_X	레벨 <X>
$LEVEL_1_DESCRIPTION	라임 도시경관
$LEVEL_2_DESCRIPTION	레드 자이언트
$LEVEL_3_DESCRIPTION	퍼플 드림
$SCORE	점수
$BEST_SCORE	베스트
$X_POINTS	<X> 포인트
$END_DIALOG_1_1_LINE_1	그럼 다시 만나죠
$END_DIALOG_1_1_LINE_2	 
$END_DIALOG_1_1_LINE_3	귀하의 능력이 조금도
$END_DIALOG_1_1_LINE_4	줄어들지 않았습니다.
$END_DIALOG_1_2_LINE_1	쉬웠습니다!
$END_DIALOG_1_2_LINE_2	 
$END_DIALOG_1_2_LINE_3	내게 무엇을 던지든
$END_DIALOG_1_2_LINE_4	이기겠습니다.
$END_DIALOG_1_3_LINE_1	하하! 제가 당신이라면
$END_DIALOG_1_3_LINE_2	그렇게 자신만만해 하지 않겠어요
$END_DIALOG_1_3_LINE_3	다음 도전에서
$END_DIALOG_1_3_LINE_4	어떻게 할지 보겠습니다.
$END_DIALOG_2_1_LINE_1	 
$END_DIALOG_2_1_LINE_2	보셨죠? 쉬워요!
$END_DIALOG_2_1_LINE_3	 
$END_DIALOG_2_1_LINE_4	 
$END_DIALOG_2_2_LINE_1	좀 교만한 것 같군요,
$END_DIALOG_2_2_LINE_2	친구여,
$END_DIALOG_2_2_LINE_3	마지막 도전 세트에서
$END_DIALOG_2_2_LINE_4	알게 되겠죠.
$END_DIALOG_2_3_LINE_1	말만 하고, 행동은 하지 않는군요.
$END_DIALOG_2_3_LINE_2	 
$END_DIALOG_2_3_LINE_3	갑시다, 준비 됐어요!
$END_DIALOG_2_3_LINE_4	 
$END_DIALOG_2_4_LINE_1	더 잘할 수 있었을텐데요.
$END_DIALOG_2_4_LINE_2	 
$END_DIALOG_2_4_LINE_3	겁쟁이는
$END_DIALOG_2_4_LINE_4	다음 레벨에 도전하지 마세요.
$END_DIALOG_3_1_LINE_1	네!!!!
$END_DIALOG_3_1_LINE_2	 
$END_DIALOG_3_1_LINE_3	해냈어요!!!
$END_DIALOG_3_1_LINE_4	 
$END_DIALOG_3_2_LINE_1	브라보! 당신이
$END_DIALOG_3_2_LINE_2	이처럼 멀리 올 줄은
$END_DIALOG_3_2_LINE_3	정말 몰랐어요.
$END_DIALOG_3_2_LINE_4	성과가 정말 뛰어나군요.
$END_DIALOG_3_3_LINE_1	더블 바디 컨디션에서
$END_DIALOG_3_3_LINE_2	정확성과 빛처럼 빠른
$END_DIALOG_3_3_LINE_3	반사신경을 결합했습니다.
$END_DIALOG_3_3_LINE_4	진정 놀라운 솜씨입니다.
$END_DIALOG_3_4_LINE_1	아직 하지 않았다면,
$END_DIALOG_3_4_LINE_2	끝없는 모드에서
$END_DIALOG_3_4_LINE_3	스스로 도전하거나
$END_DIALOG_3_4_LINE_4	친구들과 멀티플레이어 모드를 즐길 수 있습니다.
$END_DIALOG_3_5_LINE_1	시간만 된다면
$END_DIALOG_3_5_LINE_2	실험은 계속됩니다.
$END_DIALOG_3_5_LINE_3	 
$END_DIALOG_3_5_LINE_4	그 때까지...
$END_DIALOG_3_6_LINE_1	 
$END_DIALOG_3_6_LINE_2	. . . . . .
$END_DIALOG_3_6_LINE_3	 
$END_DIALOG_3_6_LINE_4	 
$CREDITS_LINE_1	게임 디자인 및 프로그래밍
$CREDITS_LINE_2	바스코 프레이타스
$CREDITS_LINE_3	아트워크
$CREDITS_LINE_4	프레데리코 마틴
$CREDITS_LINE_5	루테 수아레스
$CREDITS_LINE_6	음악과 사운드 효과
$CREDITS_LINE_7	프란시스코 푸르타도
$SETTINGS	설정
$LANGUAGE	언어
$COMING_SOON	출시 예정
$RESTORE_PURCHASES	구매 복원
$MUSIC	음악
$SOUND	사운드
$COMPUTER_CONTROLLED_ABBREVIATION	CPU
$SCREENSHOT_TEXT_1	로컬 멀티플레이어
$SCREENSHOT_TEXT_2	최대 4명의 플레이어
$REMOVE_ADS	광고 제거
$GET_G-SWITCH_3_PLUS	G-Switch 3 플러스 받기
$G-SWITCH_3_PLUS_LINE_1	G-Switch 3+로 다음을 잠금해제할 수 있습니다:
$G-SWITCH_3_PLUS_LINE_2	 - 6가지 완전히 새로운 멀티플레이어 스테이지
$G-SWITCH_3_PLUS_LINE_3	 - G-Switch 2 및 G-Switch 1에서 모든 멀티 플레이어 스테이지
$G-SWITCH_3_PLUS_LINE_4	 - 좋아하는 순서로 원하는 스테이지에서 플레이
$G-SWITCH_3_PLUS_LINE_5	 - "영원한 토너먼트" 및 파워업 없음" 옵션
$G-SWITCH_3_PLUS_LINE_6	 - 더 이상 광고 없음
$G-SWITCH_3_PLUS_LINE_7	 - 향후 모든 새로운 스테이지/레벨에 영구히 액세스
$G-SWITCH_3_PLUS_LINE_8_PRICE_X	불과 <X>
$GET_IT_BUTTON	지금 받으세요!
$UNABLE_TO_CONNECT_GOOGLE_PLAY	Google Play에 연결할 수 없습니다.
$CHECK_CONNECTION	인터넷 연결을 확인하시기 바랍니다.
$CONNECTING	연결 중 ...
$REWARDED_AD_TITLE	비디오를보다
$REWARDED_AD_DESCRIPTION	비디오를보고 다음 시도에서 슬로우 모션을 얻으시겠습니까?
$LIVES	삶
$REWARDED_AD_2_TITLE	여분의 생명을 구하십시오
$REWARDED_AD_2_DESCRIPTION	비디오를보고 여분의 생명을 얻으시겠습니까?
$REWARDED_AD_3_TITLE	슬로우 모션을 얻으시겠습니까?
$REWARDED_AD_3_DESCRIPTION	다음 시도에서 슬로우 모션을 얻으시겠습니까?
$PRESS_ANY_KEY_TO_CONTINUE	계속하려면 아무 키나 누르십시오
$ADS_OPT_IN_TITLE	DO YOU WANT TO IMPROVE YOUR EXPERIENCE?
$ADS_OPT_IN_DESCRIPTION	To offer interest-based ads, meaning ads relevant to you, we need to collect data and share it with our partners, who may use different technologies.
$ADS_OPT_IN_MORE	Learn more in our 
$PRIVACY_POLICY	privacy policy
